"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TEMP"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-05-31","  97.9"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-06-01","  78.4"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-06-02","  94.4"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-06-09","  81.7"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-06-12","  88.7"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-06-13","  88.8"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-06-16","  92.5"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-06-18","  83.1"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-06-20","  75.6"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-06-26","  86.2"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-06-29","  81.9"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-06-30","  85.7"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-07-02","  91.9"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-07-12","  89.6"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-07-28","  81.5"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-08-08","  81.5"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-08-20","  79.2"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-08-27","  82.8"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-08-30","  81.1"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-09-01","  78.7"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-09-05","  84.0"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-09-08","  82.4"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-09-12","  91.4"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-09-19","  86.7"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-09-29","  80.7"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-09-30","  90.5"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-10-02","  94.6"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-10-05","  91.4"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-10-08","  83.5"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-10-10","  81.9"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-10-11","  78.1"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-10-17","  89.2"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-10-20","  91.4"
"64851099999","SALAK, CM","10.451392","14.257361","423.97","2008-10-22","  86.5"
